invoice_id,invoice_date,plant,energy_vendor,energy_type,invoice_amount_usd,billing_period_start,billing_period_end,meter_id,rate_plan,payment_terms,currency
900052,1/4/2024,Plant_OH_Toledo,Dominion Energy,Electricity,25557.67,12/5/2023,1/4/2024,MTR-98868,Fixed,Net 30,USD
900053,1/19/2024,Plant_OH_Toledo,Dominion Energy,Steam,24780.49,12/20/2023,1/19/2024,MTR-74888,Variable,Net 30,USD
900054,1/12/2024,Plant_OH_Toledo,Exelon Utilities,Water & Utilities,8722.04,12/13/2023,1/12/2024,MTR-80589,Variable,Net 30,USD
900055,1/17/2024,Plant_OH_Toledo,Exelon Utilities,Water & Utilities,11553.49,12/18/2023,1/17/2024,MTR-65505,Fixed,Net 30,USD
900056,1/12/2024,Plant_OH_Toledo,Exelon Utilities,Steam,20836.9,12/13/2023,1/12/2024,MTR-89518,Time-of-Use,Net 30,USD
900057,1/6/2024,Plant_OH_Toledo,NRG Energy,Natural Gas,13755.53,12/7/2023,1/6/2024,MTR-67866,Fixed,Net 30,USD
900058,1/20/2024,Plant_OH_Toledo,NRG Energy,Steam,14079.95,12/21/2023,1/20/2024,MTR-79894,Time-of-Use,Net 30,USD
900059,1/23/2024,Plant_OH_Toledo,NRG Energy,Electricity,68227.74,12/24/2023,1/23/2024,MTR-58099,Fixed,Net 30,USD
900060,1/13/2024,Plant_OH_Toledo,FirstEnergy,Natural Gas,46338.26,12/14/2023,1/13/2024,MTR-94785,Time-of-Use,Net 30,USD
900061,1/14/2024,Plant_OH_Toledo,FirstEnergy,Natural Gas,24927.75,12/15/2023,1/14/2024,MTR-37109,Fixed,Net 30,USD
900062,1/12/2024,Plant_OH_Toledo,Edison International,Steam,44064.74,12/13/2023,1/12/2024,MTR-20855,Fixed,Net 30,USD
900063,1/12/2024,Plant_OH_Toledo,Edison International,Water & Utilities,10643.64,12/13/2023,1/12/2024,MTR-85091,Fixed,Net 30,USD
900064,1/22/2024,Plant_OH_Toledo,Edison International,Electricity,81260.73,12/23/2023,1/22/2024,MTR-37639,Time-of-Use,Net 30,USD
900065,1/17/2024,Plant_OH_Toledo,AES Corporation,Natural Gas,53863.41,12/18/2023,1/17/2024,MTR-48810,Fixed,Net 30,USD
900066,1/25/2024,Plant_OH_Toledo,Southern Power,Natural Gas,59401.09,12/26/2023,1/25/2024,MTR-74841,Fixed,Net 30,USD
900067,1/8/2024,Plant_OH_Toledo,American Electric Power,Natural Gas,32238.44,12/9/2023,1/8/2024,MTR-74169,Variable,Net 30,USD
900068,1/2/2024,Plant_OH_Toledo,American Electric Power,Steam,11859.51,12/3/2023,1/2/2024,MTR-54053,Time-of-Use,Net 30,USD
900069,1/6/2024,Plant_OH_Toledo,American Electric Power,Water & Utilities,15271.89,12/7/2023,1/6/2024,MTR-59397,Fixed,Net 30,USD
900070,1/10/2024,Plant_OH_Toledo,Duke Energy LLC,Electricity,21078.38,12/11/2023,1/10/2024,MTR-85554,Variable,Net 30,USD
900071,1/26/2024,Plant_OH_Toledo,Duke Energy LLC,Natural Gas,48246.75,12/27/2023,1/26/2024,MTR-73286,Time-of-Use,Net 30,USD
900072,1/11/2024,Plant_OH_Toledo,NRG Energy Services,Electricity,61205.75,12/12/2023,1/11/2024,MTR-70488,Variable,Net 30,USD
900073,1/12/2024,Plant_OH_Toledo,Exelon Utility Co,Water & Utilities,6982.74,12/13/2023,1/12/2024,MTR-95971,Variable,Net 30,USD
900074,1/11/2024,Plant_OH_Toledo,Exelon Utility Co,Water & Utilities,7604.48,12/12/2023,1/11/2024,MTR-20121,Time-of-Use,Net 30,USD
900075,1/9/2024,Plant_IL_Chicago,Duke Energy,Natural Gas,59175.9,12/10/2023,1/9/2024,MTR-23660,Time-of-Use,Net 30,USD
900076,1/25/2024,Plant_IL_Chicago,Duke Energy,Steam,21440.04,12/26/2023,1/25/2024,MTR-74909,Fixed,Net 30,USD
900077,1/10/2024,Plant_IL_Chicago,NextEra Energy,Steam,37529.59,12/11/2023,1/10/2024,MTR-17569,Variable,Net 30,USD
900078,1/21/2024,Plant_IL_Chicago,Dominion Energy,Water & Utilities,6842.12,12/22/2023,1/21/2024,MTR-76974,Fixed,Net 30,USD
900079,1/18/2024,Plant_IL_Chicago,Dominion Energy,Natural Gas,52314.42,12/19/2023,1/18/2024,MTR-81930,Variable,Net 30,USD
900080,1/12/2024,Plant_IL_Chicago,Dominion Energy,Water & Utilities,4648.71,12/13/2023,1/12/2024,MTR-62668,Variable,Net 30,USD
900081,1/8/2024,Plant_IL_Chicago,Exelon Utilities,Water & Utilities,21079.49,12/9/2023,1/8/2024,MTR-12605,Time-of-Use,Net 30,USD
900082,1/24/2024,Plant_IL_Chicago,Exelon Utilities,Water & Utilities,12949.54,12/25/2023,1/24/2024,MTR-21374,Variable,Net 30,USD
900083,1/11/2024,Plant_IL_Chicago,Exelon Utilities,Water & Utilities,10143.63,12/12/2023,1/11/2024,MTR-53037,Variable,Net 30,USD
900084,1/20/2024,Plant_IL_Chicago,NRG Energy,Electricity,72068.97,12/21/2023,1/20/2024,MTR-30718,Fixed,Net 30,USD
900085,1/13/2024,Plant_IL_Chicago,FirstEnergy,Electricity,36450.07,12/14/2023,1/13/2024,MTR-26028,Fixed,Net 30,USD
900086,1/8/2024,Plant_IL_Chicago,Edison International,Natural Gas,52695.51,12/9/2023,1/8/2024,MTR-88563,Time-of-Use,Net 30,USD
900087,1/17/2024,Plant_IL_Chicago,AES Corporation,Natural Gas,28301.95,12/18/2023,1/17/2024,MTR-96967,Fixed,Net 30,USD
900088,1/26/2024,Plant_IL_Chicago,Southern Power,Steam,32419.3,12/27/2023,1/26/2024,MTR-64753,Fixed,Net 30,USD
900089,1/19/2024,Plant_IL_Chicago,Southern Power,Water & Utilities,6134.89,12/20/2023,1/19/2024,MTR-73197,Fixed,Net 30,USD
900090,1/17/2024,Plant_IL_Chicago,American Electric Power,Electricity,56629.06,12/18/2023,1/17/2024,MTR-31492,Variable,Net 30,USD
900091,1/26/2024,Plant_IL_Chicago,Duke Energy LLC,Steam,41043.99,12/27/2023,1/26/2024,MTR-48407,Fixed,Net 30,USD
900092,1/26/2024,Plant_IL_Chicago,Duke Energy LLC,Electricity,57099.21,12/27/2023,1/26/2024,MTR-28087,Time-of-Use,Net 30,USD
900093,1/22/2024,Plant_IL_Chicago,NRG Energy Services,Steam,28067.95,12/23/2023,1/22/2024,MTR-68010,Fixed,Net 30,USD
900094,1/16/2024,Plant_IL_Chicago,Exelon Utility Co,Steam,33613.26,12/17/2023,1/16/2024,MTR-38568,Time-of-Use,Net 30,USD
900095,1/11/2024,Plant_MI_Detroit,Duke Energy,Natural Gas,14630.48,12/12/2023,1/11/2024,MTR-67001,Fixed,Net 30,USD
900096,1/7/2024,Plant_MI_Detroit,Duke Energy,Electricity,68521.66,12/8/2023,1/7/2024,MTR-38080,Fixed,Net 30,USD
900097,1/8/2024,Plant_MI_Detroit,NextEra Energy,Electricity,56371.25,12/9/2023,1/8/2024,MTR-56484,Time-of-Use,Net 30,USD
900098,1/6/2024,Plant_MI_Detroit,NextEra Energy,Water & Utilities,10814.55,12/7/2023,1/6/2024,MTR-58323,Variable,Net 30,USD
900099,1/5/2024,Plant_MI_Detroit,Dominion Energy,Steam,37542.36,12/6/2023,1/5/2024,MTR-47718,Time-of-Use,Net 30,USD
900100,1/11/2024,Plant_MI_Detroit,Exelon Utilities,Electricity,30251.35,12/12/2023,1/11/2024,MTR-83383,Variable,Net 30,USD
900101,1/9/2024,Plant_MI_Detroit,Exelon Utilities,Natural Gas,63304.08,12/10/2023,1/9/2024,MTR-44998,Fixed,Net 30,USD
900102,1/7/2024,Plant_MI_Detroit,Exelon Utilities,Natural Gas,56581.8,12/8/2023,1/7/2024,MTR-59411,Fixed,Net 30,USD
900103,1/22/2024,Plant_MI_Detroit,NRG Energy,Natural Gas,23140.34,12/23/2023,1/22/2024,MTR-48650,Fixed,Net 30,USD
900104,1/3/2024,Plant_MI_Detroit,NRG Energy,Water & Utilities,4922.41,12/4/2023,1/3/2024,MTR-31751,Variable,Net 30,USD
900105,1/6/2024,Plant_MI_Detroit,FirstEnergy,Water & Utilities,5467.88,12/7/2023,1/6/2024,MTR-76893,Time-of-Use,Net 30,USD
900106,1/24/2024,Plant_MI_Detroit,Edison International,Water & Utilities,13512.47,12/25/2023,1/24/2024,MTR-82629,Fixed,Net 30,USD
900107,1/26/2024,Plant_MI_Detroit,Edison International,Steam,31955.86,12/27/2023,1/26/2024,MTR-43705,Variable,Net 30,USD
900108,1/12/2024,Plant_MI_Detroit,AES Corporation,Steam,24281.6,12/13/2023,1/12/2024,MTR-95382,Time-of-Use,Net 30,USD
900109,1/9/2024,Plant_MI_Detroit,AES Corporation,Steam,25238.25,12/10/2023,1/9/2024,MTR-31184,Fixed,Net 30,USD
900110,1/7/2024,Plant_MI_Detroit,AES Corporation,Steam,11639.81,12/8/2023,1/7/2024,MTR-76142,Fixed,Net 30,USD
900111,1/8/2024,Plant_MI_Detroit,Southern Power,Electricity,44198.46,12/9/2023,1/8/2024,MTR-26801,Variable,Net 30,USD
900112,1/24/2024,Plant_MI_Detroit,American Electric Power,Natural Gas,47100.11,12/25/2023,1/24/2024,MTR-50419,Variable,Net 30,USD
900113,1/26/2024,Plant_MI_Detroit,American Electric Power,Steam,30349.64,12/27/2023,1/26/2024,MTR-48842,Time-of-Use,Net 30,USD
900114,1/14/2024,Plant_MI_Detroit,American Electric Power,Electricity,47408.53,12/15/2023,1/14/2024,MTR-34819,Fixed,Net 30,USD
900115,1/6/2024,Plant_MI_Detroit,Duke Energy LLC,Water & Utilities,22161.12,12/7/2023,1/6/2024,MTR-34492,Time-of-Use,Net 30,USD
900116,1/3/2024,Plant_MI_Detroit,Duke Energy LLC,Water & Utilities,6510.23,12/4/2023,1/3/2024,MTR-82806,Variable,Net 30,USD
900117,1/1/2024,Plant_MI_Detroit,Duke Energy LLC,Natural Gas,51077.48,12/2/2023,1/1/2024,MTR-14082,Variable,Net 30,USD
900118,1/3/2024,Plant_MI_Detroit,NRG Energy Services,Natural Gas,63392.39,12/4/2023,1/3/2024,MTR-67761,Fixed,Net 30,USD
900119,1/26/2024,Plant_MI_Detroit,NRG Energy Services,Water & Utilities,18120.96,12/27/2023,1/26/2024,MTR-67766,Variable,Net 30,USD
900120,1/8/2024,Plant_MI_Detroit,NRG Energy Services,Steam,22742.76,12/9/2023,1/8/2024,MTR-49561,Fixed,Net 30,USD
900121,1/25/2024,Plant_MI_Detroit,Exelon Utility Co,Natural Gas,40786.95,12/26/2023,1/25/2024,MTR-56196,Variable,Net 30,USD
900122,1/3/2024,Plant_PA_Pittsburgh,Duke Energy,Electricity,59320.44,12/4/2023,1/3/2024,MTR-94077,Fixed,Net 30,USD
900123,1/8/2024,Plant_PA_Pittsburgh,Duke Energy,Natural Gas,40776.91,12/9/2023,1/8/2024,MTR-96245,Time-of-Use,Net 30,USD
900124,1/11/2024,Plant_PA_Pittsburgh,Duke Energy,Water & Utilities,14288.64,12/12/2023,1/11/2024,MTR-51516,Time-of-Use,Net 30,USD
900125,1/9/2024,Plant_PA_Pittsburgh,NextEra Energy,Water & Utilities,20409.04,12/10/2023,1/9/2024,MTR-36686,Time-of-Use,Net 30,USD
900126,1/4/2024,Plant_PA_Pittsburgh,NextEra Energy,Natural Gas,54631.68,12/5/2023,1/4/2024,MTR-34318,Variable,Net 30,USD
900127,1/17/2024,Plant_PA_Pittsburgh,NextEra Energy,Water & Utilities,17180.92,12/18/2023,1/17/2024,MTR-43690,Fixed,Net 30,USD
900128,1/18/2024,Plant_PA_Pittsburgh,Dominion Energy,Electricity,50705.86,12/19/2023,1/18/2024,MTR-32317,Time-of-Use,Net 30,USD
900129,1/26/2024,Plant_PA_Pittsburgh,Dominion Energy,Electricity,87616.29,12/27/2023,1/26/2024,MTR-93506,Fixed,Net 30,USD
900130,1/13/2024,Plant_PA_Pittsburgh,Dominion Energy,Water & Utilities,20134.7,12/14/2023,1/13/2024,MTR-44208,Time-of-Use,Net 30,USD
900131,1/13/2024,Plant_PA_Pittsburgh,Exelon Utilities,Natural Gas,44022.44,12/14/2023,1/13/2024,MTR-64767,Fixed,Net 30,USD
900132,1/8/2024,Plant_PA_Pittsburgh,Exelon Utilities,Steam,36996.42,12/9/2023,1/8/2024,MTR-17821,Time-of-Use,Net 30,USD
900133,1/14/2024,Plant_PA_Pittsburgh,Exelon Utilities,Steam,25054.81,12/15/2023,1/14/2024,MTR-77318,Fixed,Net 30,USD
900134,1/21/2024,Plant_PA_Pittsburgh,NRG Energy,Natural Gas,24912.8,12/22/2023,1/21/2024,MTR-39688,Fixed,Net 30,USD
900135,1/22/2024,Plant_PA_Pittsburgh,NRG Energy,Natural Gas,35806.83,12/23/2023,1/22/2024,MTR-89260,Fixed,Net 30,USD
900136,1/6/2024,Plant_PA_Pittsburgh,FirstEnergy,Electricity,85135.72,12/7/2023,1/6/2024,MTR-32095,Variable,Net 30,USD
900137,1/5/2024,Plant_PA_Pittsburgh,Edison International,Steam,46263.61,12/6/2023,1/5/2024,MTR-34405,Time-of-Use,Net 30,USD
900138,1/13/2024,Plant_PA_Pittsburgh,Edison International,Water & Utilities,20929.28,12/14/2023,1/13/2024,MTR-54941,Fixed,Net 30,USD
900139,1/4/2024,Plant_PA_Pittsburgh,AES Corporation,Natural Gas,50649.15,12/5/2023,1/4/2024,MTR-54136,Fixed,Net 30,USD
900140,1/13/2024,Plant_PA_Pittsburgh,AES Corporation,Electricity,66679.08,12/14/2023,1/13/2024,MTR-72558,Variable,Net 30,USD
900141,1/17/2024,Plant_PA_Pittsburgh,AES Corporation,Electricity,78456.24,12/18/2023,1/17/2024,MTR-85480,Variable,Net 30,USD
900142,1/15/2024,Plant_PA_Pittsburgh,Southern Power,Steam,47208.57,12/16/2023,1/15/2024,MTR-62222,Variable,Net 30,USD
900143,1/26/2024,Plant_PA_Pittsburgh,American Electric Power,Water & Utilities,22556.16,12/27/2023,1/26/2024,MTR-17475,Variable,Net 30,USD
900144,1/24/2024,Plant_PA_Pittsburgh,American Electric Power,Natural Gas,60270.39,12/25/2023,1/24/2024,MTR-85292,Variable,Net 30,USD
900145,1/18/2024,Plant_PA_Pittsburgh,American Electric Power,Natural Gas,45194.3,12/19/2023,1/18/2024,MTR-65927,Fixed,Net 30,USD
900146,1/26/2024,Plant_PA_Pittsburgh,Duke Energy LLC,Water & Utilities,18876.02,12/27/2023,1/26/2024,MTR-34862,Variable,Net 30,USD
900147,1/15/2024,Plant_PA_Pittsburgh,Duke Energy LLC,Steam,26656.45,12/16/2023,1/15/2024,MTR-13426,Time-of-Use,Net 30,USD
900148,1/16/2024,Plant_PA_Pittsburgh,Duke Energy LLC,Electricity,49350.93,12/17/2023,1/16/2024,MTR-95687,Variable,Net 30,USD
900149,1/3/2024,Plant_PA_Pittsburgh,NRG Energy Services,Water & Utilities,15355.2,12/4/2023,1/3/2024,MTR-28291,Fixed,Net 30,USD
900150,1/18/2024,Plant_PA_Pittsburgh,NRG Energy Services,Electricity,44409.45,12/19/2023,1/18/2024,MTR-77300,Variable,Net 30,USD
900151,1/26/2024,Plant_PA_Pittsburgh,Exelon Utility Co,Electricity,79110.72,12/27/2023,1/26/2024,MTR-90983,Variable,Net 30,USD
900152,1/9/2024,Plant_PA_Pittsburgh,Exelon Utility Co,Water & Utilities,9725.61,12/10/2023,1/9/2024,MTR-37014,Fixed,Net 30,USD
900153,2/22/2024,Plant_TX_Houston,Duke Energy,Natural Gas,15420.87,1/23/2024,2/22/2024,MTR-35912,Time-of-Use,Net 30,USD
900154,2/8/2024,Plant_TX_Houston,NextEra Energy,Water & Utilities,15015.79,1/9/2024,2/8/2024,MTR-14752,Time-of-Use,Net 30,USD
900155,2/15/2024,Plant_TX_Houston,Dominion Energy,Water & Utilities,14938.42,1/16/2024,2/15/2024,MTR-95719,Variable,Net 30,USD
900156,2/15/2024,Plant_TX_Houston,Exelon Utilities,Electricity,79530.94,1/16/2024,2/15/2024,MTR-82319,Time-of-Use,Net 30,USD
900157,2/18/2024,Plant_TX_Houston,NRG Energy,Steam,45734.56,1/19/2024,2/18/2024,MTR-45363,Time-of-Use,Net 30,USD
900158,2/23/2024,Plant_TX_Houston,NRG Energy,Electricity,51220.31,1/24/2024,2/23/2024,MTR-15484,Fixed,Net 30,USD
900159,2/5/2024,Plant_TX_Houston,FirstEnergy,Natural Gas,47411.54,1/6/2024,2/5/2024,MTR-60940,Time-of-Use,Net 30,USD
900160,2/13/2024,Plant_TX_Houston,FirstEnergy,Natural Gas,57878.5,1/14/2024,2/13/2024,MTR-93649,Fixed,Net 30,USD
900161,2/8/2024,Plant_TX_Houston,FirstEnergy,Steam,38060.91,1/9/2024,2/8/2024,MTR-19249,Variable,Net 30,USD
900162,1/31/2024,Plant_TX_Houston,Edison International,Steam,24640.52,1/1/2024,1/31/2024,MTR-30563,Variable,Net 30,USD
900163,2/8/2024,Plant_TX_Houston,Edison International,Water & Utilities,8321.12,1/9/2024,2/8/2024,MTR-19405,Fixed,Net 30,USD
900164,2/21/2024,Plant_TX_Houston,Edison International,Natural Gas,26995.64,1/22/2024,2/21/2024,MTR-85438,Fixed,Net 30,USD
900165,2/10/2024,Plant_TX_Houston,AES Corporation,Natural Gas,28917.89,1/11/2024,2/10/2024,MTR-16665,Fixed,Net 30,USD
900166,2/8/2024,Plant_TX_Houston,AES Corporation,Natural Gas,55009.6,1/9/2024,2/8/2024,MTR-49157,Variable,Net 30,USD
900167,2/10/2024,Plant_TX_Houston,Southern Power,Steam,24119.74,1/11/2024,2/10/2024,MTR-82076,Fixed,Net 30,USD
900168,2/18/2024,Plant_TX_Houston,Southern Power,Steam,27030.06,1/19/2024,2/18/2024,MTR-63394,Fixed,Net 30,USD
900169,2/19/2024,Plant_TX_Houston,American Electric Power,Steam,27647.62,1/20/2024,2/19/2024,MTR-16338,Time-of-Use,Net 30,USD
900170,2/14/2024,Plant_TX_Houston,American Electric Power,Electricity,85062.6,1/15/2024,2/14/2024,MTR-78815,Fixed,Net 30,USD
900171,2/16/2024,Plant_TX_Houston,American Electric Power,Water & Utilities,17443.37,1/17/2024,2/16/2024,MTR-77819,Time-of-Use,Net 30,USD
900172,2/16/2024,Plant_TX_Houston,Duke Energy LLC,Steam,42617.6,1/17/2024,2/16/2024,MTR-65877,Variable,Net 30,USD
900173,2/7/2024,Plant_TX_Houston,NRG Energy Services,Water & Utilities,7185.4,1/8/2024,2/7/2024,MTR-49999,Variable,Net 30,USD
900174,2/20/2024,Plant_TX_Houston,NRG Energy Services,Natural Gas,16763.37,1/21/2024,2/20/2024,MTR-55140,Variable,Net 30,USD
900175,2/25/2024,Plant_TX_Houston,Exelon Utility Co,Water & Utilities,16220.93,1/26/2024,2/25/2024,MTR-95407,Time-of-Use,Net 30,USD
900176,2/2/2024,Plant_TX_Dallas,Duke Energy,Natural Gas,67887.19,1/3/2024,2/2/2024,MTR-59369,Fixed,Net 30,USD
900177,2/9/2024,Plant_TX_Dallas,NextEra Energy,Steam,21077.16,1/10/2024,2/9/2024,MTR-82206,Variable,Net 30,USD
900178,2/19/2024,Plant_TX_Dallas,Dominion Energy,Steam,13955.62,1/20/2024,2/19/2024,MTR-39389,Time-of-Use,Net 30,USD
900179,2/25/2024,Plant_TX_Dallas,Dominion Energy,Electricity,65789.35,1/26/2024,2/25/2024,MTR-52328,Time-of-Use,Net 30,USD
900180,2/9/2024,Plant_TX_Dallas,Exelon Utilities,Electricity,36076.26,1/10/2024,2/9/2024,MTR-68551,Fixed,Net 30,USD
900181,2/6/2024,Plant_TX_Dallas,Exelon Utilities,Natural Gas,51668.64,1/7/2024,2/6/2024,MTR-41146,Time-of-Use,Net 30,USD
900182,2/5/2024,Plant_TX_Dallas,Exelon Utilities,Water & Utilities,6935.43,1/6/2024,2/5/2024,MTR-91515,Fixed,Net 30,USD
